type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
wifi,422,1.24,20.86,server,Fair
cellular,954,8.12,1.77,server,Poor
cellular,735,7.69,6.83,server,Fair
cellular,323,6.69,4.75,p2p,Poor
wifi,3342,4.76,21.62,server,Poor
wifi,1359,11.32,36.47,server,Poor
cellular,75,0.29,78.16,p2p,Good
wifi,3475,0.83,47.54,server,Poor
wifi,49,0.03,203.5,p2p,Excellent
wifi,24,0.07,226.81,p2p,Excellent
cellular,214,5.13,7.47,server,Fair
wifi,144,0.54,52.08,p2p,Fair
wifi,450,4.92,13.28,server,Fair
wifi,334,1.61,13.26,p2p,Poor
wifi,74,0.66,96.95,server,Good
wifi,130,0.26,85.99,server,Good
wifi,121,0.82,30.6,p2p,Fair
wifi,55,0.45,37.05,p2p,Fair
wifi,215,3.99,22.21,server,Good
wifi,30,0.01,105.76,server,Good
wifi,138,0.11,66.28,p2p,Fair
cellular,43,0.03,190.71,p2p,Excellent
cellular,418,6.88,4.58,p2p,Poor
wifi,3523,3.9,9.43,server,Poor
cellular,97,1.3,44.24,server,Good
wifi,30,0.05,189.5,server,Good
cellular,195,1.62,14.31,server,Good
wifi,356,1.96,22.17,server,Good
cellular,173,1.36,30.38,server,Good
wifi,137,0.62,40.29,server,Good
cellular,42,0.12,69.22,server,Good
wifi,118,0.29,30.28,server,Good
wifi,153,2.24,8.62,server,Fair
cellular,78,0.11,113.28,p2p,Good
cellular,66,0.03,92.84,server,Good
cellular,80,2.99,19.48,p2p,Fair
cellular,91,1.95,15.26,p2p,Fair
wifi,2702,11.14,16.75,p2p,Poor
wifi,368,2.49,5.58,server,Fair
wifi,34,0.07,221.94,server,Good
cellular,72,0.37,91.17,p2p,Good
wifi,21,0.02,184.67,p2p,Excellent
wifi,26,0.01,121.9,server,Good
cellular,55,0.19,70.47,p2p,Good
wifi,775,14.84,42.84,server,Poor
cellular,121,0.95,24.74,p2p,Fair
wifi,247,2.99,5.32,server,Fair
cellular,132,1.78,22.28,server,Good
cellular,41,0.24,108.78,p2p,Good
cellular,80,1.42,33.95,server,Good
cellular,114,1.77,13.93,server,Good
wifi,135,0.27,39.65,p2p,Fair
cellular,827,6.93,2.25,server,Poor
wifi,3237,11.49,32.85,p2p,Poor
cellular,190,1.2,42.32,server,Good
wifi,22,0.0,236.94,p2p,Excellent
wifi,81,0.78,66.0,p2p,Good
wifi,87,0.23,69.05,p2p,Good
wifi,361,3.83,5.18,p2p,Poor
wifi,57,0.56,43.74,p2p,Good
wifi,38,0.01,187.18,server,Good
wifi,32,0.05,140.49,server,Good
cellular,53,0.04,74.75,p2p,Good
wifi,2370,2.21,14.13,p2p,Poor
cellular,174,1.36,31.67,p2p,Fair
cellular,295,3.59,7.26,server,Fair
wifi,3291,1.69,12.86,p2p,Poor
cellular,559,6.63,6.87,p2p,Poor
wifi,288,1.7,21.03,server,Good
wifi,90,0.97,95.79,p2p,Good
cellular,123,0.72,22.2,p2p,Fair
wifi,55,0.86,35.05,server,Good
wifi,55,0.78,30.55,p2p,Fair
wifi,90,0.54,53.65,p2p,Good
wifi,32,0.1,251.91,p2p,Excellent
cellular,832,4.18,8.7,p2p,Poor
cellular,91,2.84,24.81,p2p,Fair
wifi,111,0.78,62.18,server,Good
cellular,126,1.39,12.85,server,Good
wifi,104,0.88,91.54,server,Good
wifi,77,0.17,65.51,server,Good
cellular,422,9.2,8.37,server,Fair
wifi,107,0.58,77.18,p2p,Good
wifi,82,0.26,55.93,server,Good
cellular,193,2.46,19.4,p2p,Fair
cellular,181,2.12,22.89,server,Good
wifi,46,0.06,179.12,server,Good
wifi,117,0.21,78.15,p2p,Good
wifi,84,0.56,87.4,p2p,Good
cellular,67,0.05,176.5,p2p,Good
wifi,294,3.21,18.79,server,Good
cellular,455,9.08,7.38,p2p,Poor
cellular,629,5.66,4.81,p2p,Poor
cellular,56,0.12,125.41,server,Good
cellular,74,0.18,155.72,server,Good
cellular,872,3.37,1.32,server,Poor
cellular,102,0.74,12.09,server,Good
wifi,131,0.97,96.99,p2p,Fair
cellular,134,2.38,21.66,p2p,Fair
cellular,523,7.82,8.9,server,Fair
cellular,924,9.63,5.17,server,Fair
cellular,67,0.02,198.43,server,Good
cellular,93,0.57,17.07,p2p,Fair
wifi,52,0.89,61.61,p2p,Good
cellular,424,3.03,5.31,p2p,Poor
cellular,413,4.68,8.86,p2p,Poor
cellular,493,3.02,6.64,p2p,Poor
wifi,432,4.47,19.79,p2p,Poor
wifi,433,2.13,2.22,p2p,Poor
cellular,102,1.34,40.06,p2p,Fair
cellular,166,0.96,36.72,server,Good
wifi,67,0.96,98.63,server,Good
wifi,61,0.65,64.28,p2p,Good
wifi,55,0.7,61.63,server,Good
wifi,48,0.05,138.06,server,Good
wifi,410,4.5,7.38,p2p,Poor
wifi,309,4.6,17.99,p2p,Poor
wifi,368,4.7,20.63,server,Good
cellular,126,2.33,10.92,server,Good
cellular,963,6.66,5.39,server,Fair
cellular,161,2.16,41.37,p2p,Fair
cellular,97,0.59,31.32,server,Good
cellular,118,2.83,32.38,p2p,Fair
wifi,3968,2.9,47.24,server,Poor
wifi,328,2.37,21.89,server,Good
cellular,165,2.29,20.47,p2p,Fair
cellular,110,2.18,27.37,server,Good
cellular,61,0.46,114.15,server,Good
wifi,38,0.04,272.07,server,Good
cellular,261,3.33,2.57,p2p,Poor
cellular,111,0.8,12.53,p2p,Poor
cellular,430,9.48,1.54,server,Poor
wifi,131,0.41,93.89,server,Good
wifi,314,1.43,9.03,p2p,Poor
wifi,90,0.16,68.45,server,Good
cellular,72,0.3,178.46,server,Good
wifi,430,1.4,3.36,p2p,Poor
cellular,72,0.3,130.31,p2p,Good
wifi,45,0.0,216.07,server,Good
wifi,145,0.94,29.56,p2p,Fair
cellular,176,1.29,17.31,p2p,Fair
wifi,36,0.01,269.07,server,Good
wifi,3519,0.18,22.49,server,Poor
wifi,78,0.28,48.14,p2p,Good
cellular,41,0.44,128.04,server,Good
wifi,3334,3.81,11.08,server,Poor
wifi,424,1.94,14.29,p2p,Poor
cellular,428,6.96,7.56,server,Fair
cellular,714,8.46,6.02,p2p,Poor
wifi,94,0.59,59.29,p2p,Good
wifi,54,0.86,29.02,p2p,Fair
wifi,442,1.31,11.23,p2p,Poor
cellular,579,7.29,6.97,server,Fair
wifi,124,0.35,62.14,server,Good
cellular,59,0.18,119.07,p2p,Excellent
cellular,170,2.22,44.98,p2p,Fair
wifi,388,1.42,22.78,server,Good
wifi,96,0.23,46.89,server,Good
cellular,74,0.17,73.43,p2p,Good
wifi,94,0.75,73.21,p2p,Good
cellular,121,2.68,28.01,p2p,Fair
cellular,89,0.82,17.08,server,Good
wifi,221,1.28,24.61,server,Good
wifi,105,0.61,91.77,p2p,Good
cellular,183,0.8,16.72,server,Good
cellular,531,8.85,8.58,p2p,Poor
cellular,164,2.66,36.1,p2p,Fair
cellular,761,3.19,5.49,server,Fair
wifi,391,2.58,12.52,server,Good
cellular,91,2.37,19.26,p2p,Fair
wifi,431,4.22,20.55,server,Fair
wifi,191,2.43,2.9,p2p,Poor
wifi,2071,4.48,46.08,server,Poor
cellular,144,1.58,16.23,server,Good
cellular,141,0.86,11.62,p2p,Poor
wifi,189,2.89,17.58,p2p,Fair
cellular,190,1.71,23.15,p2p,Fair
wifi,36,0.02,123.71,server,Good
cellular,66,0.44,130.03,p2p,Good
wifi,28,0.04,199.01,server,Good
wifi,1320,8.25,13.31,server,Poor
cellular,749,7.38,3.04,server,Poor
cellular,872,9.16,7.54,p2p,Poor
cellular,225,7.48,7.38,p2p,Poor
wifi,301,1.5,3.55,p2p,Poor
wifi,2750,3.39,29.34,server,Poor
wifi,366,2.46,15.99,server,Good
cellular,64,0.13,77.24,p2p,Good
cellular,49,0.3,72.99,p2p,Good
cellular,966,8.78,1.93,p2p,Poor
cellular,120,1.58,24.4,server,Good
cellular,75,0.26,180.98,server,Good
wifi,165,3.69,7.76,p2p,Poor
wifi,18,0.01,299.62,server,Good
cellular,669,4.96,6.42,server,Fair
wifi,363,1.39,7.97,server,Fair
wifi,295,4.36,4.22,server,Poor
wifi,148,0.11,55.28,server,Good
cellular,577,8.97,4.05,server,Poor
wifi,3220,0.27,38.75,p2p,Poor
wifi,191,2.05,5.2,server,Fair
wifi,230,3.7,16.13,p2p,Fair
cellular,796,9.82,6.68,p2p,Poor
wifi,93,0.46,30.58,server,Good
wifi,17,0.02,120.36,server,Good
wifi,1945,2.47,24.86,server,Poor
wifi,103,0.38,98.24,p2p,Good
wifi,348,3.94,12.47,p2p,Poor
wifi,57,0.16,94.91,server,Good
wifi,146,0.12,34.15,server,Good
cellular,147,2.18,46.43,server,Good
cellular,284,5.71,6.97,p2p,Poor
cellular,98,1.85,13.9,p2p,Poor
wifi,92,0.68,80.07,p2p,Good
cellular,756,5.1,7.41,p2p,Poor
wifi,124,0.76,69.86,server,Good
wifi,36,0.09,169.76,server,Good
wifi,407,1.65,2.78,server,Poor
wifi,36,0.04,154.13,p2p,Excellent
wifi,292,3.95,4.05,p2p,Poor
wifi,357,3.49,9.56,p2p,Poor
wifi,149,0.86,99.59,p2p,Fair
cellular,108,2.6,22.71,server,Good
cellular,604,9.0,2.96,server,Poor
wifi,1290,4.63,42.73,p2p,Poor
cellular,62,0.4,157.25,p2p,Good
wifi,379,2.39,22.47,p2p,Poor
cellular,140,1.31,32.38,server,Good
cellular,47,0.07,173.4,p2p,Excellent
wifi,2897,11.86,6.96,server,Poor
cellular,41,0.1,110.29,p2p,Excellent
cellular,989,7.27,6.27,p2p,Poor
wifi,2568,11.63,7.52,p2p,Poor
cellular,114,0.72,37.26,server,Good
wifi,357,3.48,9.91,p2p,Poor
wifi,467,3.07,10.45,server,Fair
wifi,127,0.3,38.71,server,Good
wifi,101,0.32,96.86,p2p,Good
cellular,162,1.79,17.94,server,Good
wifi,32,0.09,272.37,server,Good
cellular,477,5.09,6.46,p2p,Poor
cellular,151,1.76,41.3,server,Good
wifi,32,0.06,111.8,server,Good
wifi,118,0.61,42.37,p2p,Good
wifi,121,0.2,47.68,p2p,Fair
cellular,176,1.21,48.67,p2p,Fair
wifi,96,0.44,41.95,server,Good
cellular,148,0.99,16.73,server,Good
wifi,83,0.28,48.34,p2p,Good
cellular,67,0.15,73.31,p2p,Good
wifi,60,0.75,75.2,server,Good
cellular,151,1.88,48.15,server,Good
wifi,87,0.82,60.36,p2p,Good
cellular,625,8.62,7.37,server,Fair
cellular,164,1.72,16.15,server,Good
cellular,195,1.6,33.68,server,Good
cellular,55,0.21,130.51,p2p,Good
wifi,3124,12.48,37.16,server,Poor
cellular,45,0.03,84.98,server,Good
cellular,115,1.74,43.54,p2p,Fair
wifi,66,0.8,47.39,server,Good
wifi,85,0.78,84.88,p2p,Good
wifi,3873,10.13,48.17,server,Poor
wifi,22,0.02,145.97,p2p,Excellent
wifi,50,0.78,76.89,p2p,Good
cellular,98,0.85,12.07,server,Good
wifi,30,0.08,221.1,server,Good
wifi,324,4.36,7.19,p2p,Poor
wifi,123,0.46,68.62,server,Good
wifi,120,1.0,97.79,server,Good
wifi,325,2.3,12.75,server,Good
cellular,125,2.81,20.47,server,Good
wifi,192,2.69,24.13,p2p,Fair
wifi,107,0.98,81.9,server,Good
wifi,2689,1.31,34.2,server,Poor
cellular,76,0.1,176.94,p2p,Good
wifi,197,2.91,3.63,p2p,Poor
cellular,117,1.41,36.15,p2p,Fair
wifi,108,0.21,75.12,server,Good
wifi,46,0.06,291.73,p2p,Excellent
wifi,118,0.62,33.22,p2p,Fair
cellular,100,2.34,24.54,p2p,Fair
cellular,130,2.31,30.7,p2p,Fair
cellular,56,0.18,109.87,p2p,Excellent
wifi,147,0.72,43.42,p2p,Fair
wifi,125,0.87,30.19,p2p,Fair
cellular,123,1.16,18.02,server,Good
wifi,330,2.74,20.45,server,Good
cellular,255,7.44,6.16,server,Fair
cellular,183,0.99,17.92,p2p,Fair
wifi,45,0.09,184.66,server,Good
wifi,124,0.18,81.14,p2p,Fair
cellular,387,3.38,8.79,server,Fair
cellular,136,2.51,17.47,p2p,Fair
cellular,113,2.22,45.6,server,Good
cellular,109,0.88,36.79,p2p,Fair
wifi,100,0.44,86.27,p2p,Good
wifi,2700,11.22,11.63,p2p,Poor
wifi,281,3.0,14.24,server,Good
wifi,142,0.38,64.6,server,Good
wifi,186,4.04,6.88,server,Fair
wifi,93,0.67,28.79,server,Good
cellular,189,2.25,47.8,server,Good
cellular,195,0.87,21.88,p2p,Fair
wifi,533,0.75,36.79,p2p,Poor
cellular,183,0.94,37.75,server,Good
cellular,183,1.15,20.3,server,Good
cellular,747,6.15,7.17,server,Fair
cellular,173,2.78,27.12,p2p,Fair
wifi,229,1.58,22.0,p2p,Fair
cellular,57,0.06,134.65,p2p,Excellent
cellular,74,0.43,172.95,p2p,Good
cellular,571,4.99,8.32,p2p,Poor
cellular,828,6.37,8.81,server,Fair
wifi,385,3.71,6.9,p2p,Poor
cellular,960,7.36,9.78,server,Fair
cellular,180,2.77,14.88,p2p,Poor
wifi,76,0.62,53.66,server,Good
wifi,444,3.75,4.23,p2p,Poor
wifi,97,0.85,86.09,p2p,Good
wifi,27,0.07,187.92,p2p,Excellent
cellular,127,0.85,24.71,p2p,Fair
wifi,420,1.16,17.28,p2p,Poor
cellular,462,5.05,5.2,server,Fair
wifi,432,4.48,16.88,p2p,Poor
wifi,76,0.65,74.88,server,Good
cellular,122,1.99,11.8,p2p,Poor
cellular,75,0.28,117.52,p2p,Good
wifi,137,0.45,63.65,server,Good
cellular,156,1.26,30.87,server,Good
cellular,147,1.21,18.24,server,Good
wifi,3146,13.75,47.06,p2p,Poor
cellular,136,2.3,27.95,p2p,Fair
wifi,32,0.06,248.61,p2p,Excellent
cellular,53,0.48,118.59,server,Good
cellular,197,0.51,16.3,server,Good
wifi,454,1.74,18.02,p2p,Poor
cellular,73,0.43,70.47,server,Good
cellular,167,1.05,42.78,p2p,Fair
cellular,899,4.43,4.74,p2p,Poor
cellular,833,7.53,7.35,p2p,Poor
wifi,31,0.02,121.83,p2p,Excellent
wifi,87,0.55,80.23,p2p,Good
wifi,62,0.6,25.74,p2p,Fair
wifi,305,3.07,21.0,server,Good
wifi,149,0.16,71.76,server,Good
wifi,84,0.93,80.19,server,Good
wifi,121,0.75,36.38,p2p,Fair
wifi,3797,6.28,19.45,server,Poor
wifi,440,3.75,16.7,server,Fair
wifi,294,1.34,15.38,server,Good
cellular,42,0.24,189.8,server,Good
wifi,38,0.07,211.49,server,Good
wifi,197,3.8,17.58,server,Good
wifi,29,0.08,181.24,server,Good
cellular,87,2.29,47.65,server,Good
cellular,973,3.09,4.35,p2p,Poor
cellular,88,2.15,15.64,server,Good
cellular,73,0.16,99.55,p2p,Good
wifi,131,0.14,29.53,server,Good
cellular,60,0.36,89.69,server,Good
cellular,668,8.86,4.19,server,Poor
cellular,61,0.43,54.53,server,Good
wifi,117,0.75,31.58,p2p,Fair
cellular,40,0.35,74.33,p2p,Good
cellular,437,5.04,8.06,p2p,Poor
wifi,415,2.84,20.31,p2p,Poor
wifi,36,0.08,190.12,p2p,Excellent
wifi,112,0.41,56.54,server,Good
cellular,43,0.34,164.54,server,Good
wifi,79,0.41,41.71,p2p,Good
cellular,206,4.12,3.56,server,Poor
cellular,40,0.49,187.86,p2p,Good
wifi,721,7.4,8.48,p2p,Poor
wifi,25,0.08,140.95,server,Good
cellular,99,1.76,46.53,server,Good
cellular,531,3.74,6.3,server,Fair
cellular,102,2.33,48.56,p2p,Fair
cellular,167,2.73,15.87,p2p,Fair
wifi,82,0.41,54.36,p2p,Good
cellular,144,2.32,18.49,server,Good
cellular,87,2.51,32.83,p2p,Fair
wifi,22,0.08,115.43,p2p,Excellent
wifi,858,11.5,39.29,server,Poor
cellular,105,1.29,38.19,p2p,Fair
wifi,177,2.52,15.48,server,Good
cellular,110,0.51,39.16,p2p,Fair
wifi,426,2.15,20.78,server,Fair
cellular,68,0.14,168.39,server,Good
cellular,519,6.46,9.33,server,Fair
wifi,333,3.8,12.87,p2p,Poor
wifi,338,1.5,2.04,server,Poor
wifi,335,3.18,18.74,server,Good
wifi,2442,6.95,37.23,server,Poor
wifi,3787,14.9,29.25,server,Poor
cellular,188,2.72,23.77,server,Good
wifi,96,0.11,39.59,server,Good
cellular,78,0.37,107.34,server,Good
cellular,69,0.26,113.49,p2p,Good
wifi,56,1.0,68.71,server,Good
cellular,106,2.16,13.41,p2p,Poor
wifi,31,0.01,176.45,server,Good
wifi,23,0.05,140.96,p2p,Excellent
wifi,199,4.57,15.87,p2p,Poor
wifi,18,0.09,218.47,p2p,Excellent
wifi,403,1.17,14.84,server,Fair
cellular,148,2.63,12.62,p2p,Poor
wifi,22,0.01,275.56,p2p,Excellent
wifi,418,1.87,17.98,server,Fair
wifi,90,0.19,34.6,p2p,Fair
wifi,31,0.1,180.71,server,Good
wifi,3898,14.99,43.68,server,Poor
wifi,365,3.87,14.9,p2p,Poor
cellular,78,0.38,86.65,server,Good
wifi,43,0.07,294.49,server,Good
wifi,2008,1.48,44.2,server,Poor
wifi,2291,10.11,44.64,p2p,Poor
wifi,2510,7.61,36.06,p2p,Poor
wifi,43,0.09,213.58,server,Good
wifi,98,0.85,87.46,server,Good
cellular,187,2.2,20.51,p2p,Fair
wifi,1114,2.67,25.1,server,Poor
wifi,89,0.15,47.39,server,Good
cellular,127,2.43,35.47,server,Good
cellular,66,0.02,89.82,p2p,Good
cellular,146,0.78,48.92,p2p,Fair
cellular,55,0.03,117.6,p2p,Excellent
wifi,137,0.35,83.46,p2p,Fair
wifi,118,0.81,58.91,p2p,Good
cellular,112,1.55,33.77,server,Good
cellular,70,0.27,107.28,p2p,Good
cellular,69,0.16,93.97,p2p,Good
cellular,676,3.1,2.65,p2p,Poor
wifi,16,0.08,204.51,p2p,Excellent
cellular,105,2.64,24.56,server,Good
cellular,924,5.66,5.91,p2p,Poor
wifi,1167,2.23,25.51,p2p,Poor
cellular,629,7.73,7.56,server,Fair
cellular,120,1.54,49.28,server,Good
wifi,1278,5.51,28.8,p2p,Poor
cellular,163,2.94,11.33,p2p,Poor
wifi,91,0.45,98.72,server,Good
wifi,3163,8.73,40.32,p2p,Poor
cellular,40,0.33,176.48,server,Good
cellular,189,0.87,21.16,server,Good
wifi,87,0.17,65.73,server,Good
cellular,810,9.46,6.78,p2p,Poor
cellular,90,0.63,40.82,server,Good
cellular,943,8.24,9.46,p2p,Poor
wifi,108,0.67,85.97,server,Good
cellular,574,5.32,2.61,p2p,Poor
wifi,356,4.73,21.53,p2p,Poor
cellular,154,2.08,25.32,p2p,Fair
wifi,131,0.58,89.43,server,Good
wifi,423,3.4,22.43,p2p,Poor
cellular,65,0.12,176.81,p2p,Good
cellular,175,1.55,29.76,server,Good
wifi,115,0.87,94.66,server,Good
wifi,3172,9.18,36.18,p2p,Poor
cellular,473,5.74,6.88,server,Fair
cellular,77,0.3,142.29,server,Good
wifi,125,0.41,82.17,server,Good
wifi,15,0.03,207.6,p2p,Excellent
wifi,368,2.93,3.38,p2p,Poor
cellular,162,1.56,11.12,server,Good
cellular,163,2.47,31.59,p2p,Fair
wifi,34,0.04,151.12,p2p,Excellent
wifi,150,4.72,12.98,server,Good
cellular,59,0.5,134.77,server,Good
cellular,151,2.76,28.73,server,Good
cellular,644,8.18,2.27,server,Poor
wifi,67,0.88,53.7,server,Good
wifi,46,0.09,129.08,server,Good
wifi,292,1.49,5.0,server,Poor
wifi,2405,1.04,9.43,p2p,Poor
cellular,136,1.11,26.98,p2p,Fair
cellular,970,5.96,9.46,server,Fair
wifi,1904,6.18,26.0,p2p,Poor
cellular,83,0.76,20.52,server,Good
cellular,139,0.83,34.01,server,Good
cellular,746,6.04,7.36,server,Fair
cellular,70,0.08,104.11,server,Good
cellular,313,3.22,4.31,server,Poor
cellular,155,1.28,35.55,server,Good
cellular,167,2.59,13.11,p2p,Poor
wifi,168,4.0,23.59,server,Good
wifi,384,3.11,23.45,p2p,Poor
wifi,79,0.53,77.34,p2p,Good
wifi,53,0.91,49.36,server,Good
cellular,51,0.19,162.04,p2p,Excellent
cellular,43,0.17,66.41,p2p,Good
cellular,109,0.92,10.74,p2p,Poor
wifi,1467,5.15,34.67,server,Poor
wifi,343,4.49,23.35,server,Good
wifi,1137,11.05,47.48,p2p,Poor
wifi,308,3.62,7.9,p2p,Poor
cellular,597,7.77,2.07,p2p,Poor
wifi,133,0.68,79.63,p2p,Fair
cellular,158,1.22,24.57,server,Good
cellular,152,1.51,31.8,p2p,Fair
wifi,85,0.17,42.07,server,Good
cellular,473,9.15,8.74,p2p,Poor
wifi,305,1.65,13.64,p2p,Poor
wifi,32,0.09,251.35,server,Good
wifi,19,0.05,141.94,server,Good
cellular,44,0.22,128.92,server,Good
cellular,151,1.13,19.73,p2p,Fair
cellular,743,8.88,8.57,server,Fair
wifi,2259,6.49,32.9,p2p,Poor
cellular,107,2.28,29.33,server,Good
cellular,198,0.55,31.57,server,Good
wifi,90,0.6,92.67,p2p,Good
wifi,31,0.06,261.66,server,Good
wifi,410,1.09,4.44,p2p,Poor
wifi,146,0.35,34.3,server,Good
wifi,256,3.42,4.45,p2p,Poor
wifi,98,0.7,45.58,p2p,Good
wifi,83,0.46,38.87,server,Good
cellular,132,1.97,45.77,p2p,Fair
wifi,1146,10.04,22.38,server,Poor
wifi,2077,5.02,36.03,p2p,Poor
cellular,155,2.22,10.67,server,Good
cellular,148,0.73,35.39,p2p,Fair
wifi,141,0.71,42.89,server,Good
wifi,496,2.86,16.62,server,Fair
cellular,70,0.06,188.67,p2p,Good
wifi,197,2.04,16.32,server,Good
wifi,146,0.34,91.57,server,Good
wifi,3691,10.06,46.11,server,Poor
cellular,53,0.36,71.31,p2p,Good
cellular,241,4.37,3.88,p2p,Poor
wifi,80,0.6,29.04,p2p,Fair
wifi,46,0.1,246.2,p2p,Excellent
cellular,192,1.98,49.09,p2p,Fair
wifi,127,0.91,56.24,p2p,Fair
cellular,200,5.5,2.61,p2p,Poor
cellular,84,1.97,35.85,p2p,Fair
wifi,36,0.02,134.75,server,Good
wifi,88,0.81,88.62,p2p,Good
wifi,53,0.74,37.78,p2p,Fair
cellular,146,0.8,11.9,p2p,Poor
cellular,48,0.15,102.64,server,Good
wifi,86,0.92,64.04,p2p,Good
cellular,113,2.34,19.76,server,Good
wifi,368,1.05,16.35,p2p,Poor
wifi,62,0.3,65.67,server,Good
wifi,122,0.91,89.59,server,Good
cellular,153,2.34,17.93,server,Good
wifi,1605,9.35,46.38,server,Poor
wifi,120,0.66,47.24,p2p,Fair
cellular,130,2.79,43.8,p2p,Fair
wifi,33,0.04,216.56,server,Good
wifi,313,4.87,21.02,p2p,Poor
cellular,97,1.8,42.73,server,Good
wifi,233,3.9,7.68,p2p,Poor
cellular,150,1.54,27.07,p2p,Fair
wifi,50,0.88,76.95,server,Good
wifi,130,0.96,68.17,server,Good
wifi,28,0.07,137.74,server,Good
cellular,46,0.22,198.67,server,Good
wifi,2782,12.88,5.96,p2p,Poor
cellular,182,0.56,35.2,p2p,Fair
cellular,153,0.93,29.01,p2p,Fair
cellular,102,1.75,45.03,p2p,Fair
wifi,1920,7.58,16.09,server,Poor
wifi,210,4.3,1.69,server,Poor
cellular,125,1.11,41.12,server,Good
cellular,56,0.47,119.11,p2p,Good
wifi,104,0.34,67.65,p2p,Good
cellular,213,5.57,6.01,p2p,Poor
cellular,164,2.97,10.31,p2p,Poor
cellular,47,0.02,157.15,p2p,Excellent
wifi,128,0.56,48.06,server,Good
wifi,31,0.08,149.64,server,Good
cellular,134,1.59,41.65,p2p,Fair
wifi,437,3.97,4.81,p2p,Poor
cellular,512,6.49,4.73,server,Poor
wifi,35,0.09,236.88,server,Good
cellular,163,1.86,16.06,p2p,Fair
wifi,46,0.06,158.34,server,Good
cellular,573,9.63,7.47,p2p,Poor
wifi,62,0.33,99.87,server,Good
cellular,118,0.52,46.9,p2p,Good
cellular,64,0.41,85.73,p2p,Good
wifi,292,3.44,19.19,server,Good
cellular,75,0.47,126.0,p2p,Good
wifi,142,0.61,39.25,server,Good
wifi,60,0.88,59.07,p2p,Good
cellular,146,2.81,19.99,p2p,Fair
wifi,77,0.59,67.24,server,Good
wifi,56,0.22,93.07,server,Good
wifi,1867,1.62,44.76,server,Poor
wifi,46,0.09,134.17,p2p,Excellent
cellular,654,8.35,1.04,p2p,Poor
cellular,58,0.11,141.7,p2p,Excellent
wifi,348,2.47,8.66,server,Fair
wifi,140,0.51,94.99,p2p,Fair
wifi,119,0.73,73.54,server,Good
wifi,194,1.29,15.73,p2p,Fair
cellular,617,4.54,8.8,server,Fair
wifi,54,0.3,73.96,p2p,Good
wifi,78,0.32,42.76,server,Good
cellular,162,2.51,15.35,p2p,Fair
wifi,32,0.01,201.53,p2p,Excellent
cellular,177,1.39,10.99,p2p,Poor
wifi,111,0.39,87.11,server,Good
cellular,183,0.71,19.87,server,Good
cellular,79,0.1,83.39,server,Good
cellular,911,3.93,1.29,p2p,Poor
cellular,129,2.49,49.26,server,Good
cellular,100,2.81,39.95,server,Good
cellular,89,1.74,23.97,server,Good
cellular,795,8.98,2.14,server,Poor
wifi,59,0.93,76.34,p2p,Good
wifi,430,3.89,3.24,server,Poor
cellular,162,2.01,22.81,p2p,Fair
cellular,85,1.08,12.17,p2p,Poor
cellular,151,2.12,36.12,server,Good
wifi,3093,5.89,27.64,p2p,Poor
cellular,88,0.93,18.44,p2p,Fair
cellular,155,2.38,12.02,p2p,Poor
cellular,889,9.49,7.84,server,Fair
wifi,121,0.75,77.02,server,Good
wifi,350,1.42,24.24,p2p,Poor
wifi,2933,11.9,47.27,p2p,Poor
cellular,517,6.83,3.33,p2p,Poor
wifi,143,0.35,30.5,p2p,Fair
wifi,27,0.08,219.69,p2p,Excellent
wifi,35,0.02,100.21,server,Good
wifi,136,1.0,26.56,server,Good
wifi,919,7.84,11.61,p2p,Poor
cellular,499,6.32,6.66,p2p,Poor
wifi,218,1.9,24.09,server,Good
wifi,466,1.21,23.78,server,Fair
cellular,781,8.81,7.89,server,Fair
cellular,189,0.7,25.01,server,Good
cellular,167,2.96,29.75,p2p,Fair
cellular,127,2.29,38.01,p2p,Fair
wifi,126,0.86,76.95,p2p,Fair
wifi,282,3.83,21.73,server,Good
wifi,225,2.68,10.02,server,Good
wifi,337,3.45,10.17,p2p,Poor
wifi,317,2.65,9.42,p2p,Poor
wifi,72,0.11,57.82,p2p,Good
wifi,18,0.03,230.78,server,Good
cellular,192,2.97,35.82,server,Good
cellular,967,3.73,8.87,server,Fair
cellular,70,0.31,73.3,server,Good
cellular,530,3.01,3.46,p2p,Poor
wifi,49,0.01,121.42,server,Good
cellular,53,0.05,151.77,server,Good
wifi,110,0.1,27.29,server,Good
wifi,19,0.02,253.03,server,Good
cellular,413,3.78,6.17,p2p,Poor
wifi,98,0.95,39.62,server,Good
wifi,286,4.07,15.96,server,Good
cellular,308,3.37,4.86,server,Poor
wifi,95,0.89,91.36,p2p,Good
cellular,176,0.77,42.92,server,Good
wifi,28,0.09,148.83,server,Good
cellular,643,9.41,7.57,server,Fair
wifi,43,0.07,161.83,server,Good
wifi,1615,7.4,15.03,p2p,Poor
wifi,463,2.44,15.71,p2p,Poor
cellular,583,6.21,1.45,p2p,Poor
wifi,472,3.08,11.35,server,Fair
wifi,212,3.18,6.65,p2p,Poor
wifi,43,0.07,102.35,server,Good
wifi,47,0.01,178.52,server,Good
wifi,85,0.51,67.95,server,Good
wifi,107,0.46,83.85,p2p,Good
wifi,20,0.0,219.81,p2p,Excellent
wifi,174,1.91,4.76,p2p,Poor
cellular,176,1.93,14.8,p2p,Poor
wifi,3782,4.31,12.71,server,Poor
cellular,186,2.42,44.5,p2p,Fair
